title,publishedDate,tags,views,likes,comments
新グループ #ReGLOSS と ライブ開催間近の #BlueJourney について予習します！ #ホロライブニュース,2023-09-05,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",118069,8404,47
新グループ #ReGLOSS と ライブ開催間近の #BlueJourney について予習します！ #ホロライブニュース,2023-09-05,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",118069,8404,47
新グループ #ReGLOSS と ライブ開催間近の #BlueJourney について予習します！ #ホロライブニュース,2023-09-05,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",118069,8404,47
【親子愛】飯テロなるか？あくあマリンの極上レシピ【#クッキングテスト】,2023-09-04,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'クッキング', '料理', 'テスト', 'グルメ', 'レシピ', '湊あくあ', '宝鐘マリン']",628116,24332,960
【アニメ】がおー！！ゾンビパニック！！,2023-09-03,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",630247,51155,2260
【未公開あり】YAGOOノーバンチャレンジ総集編【#YAGOOノーバン】,2023-09-02,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'YAGOO', 'ノーバンチャレンジ', '野球', 'ジャイアンツ', '高梨雄平']",163742,16350,974
【新ボイス発表】特別な一日の始まり,2023-09-01,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'ボイス', 'シチュエーションボイス', 'ASMR']",95535,7402,146
【ホロのこしかけ 26】ホロサマ感謝な8月まとめ！新展開も続々…！？【友人A・えーちゃん】hololive FM,2023-08-31,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",78554,5793,32
何も分かってないさくらみこ  #hololivesummer2023 #hololive #ホロライブ#さくらみこ #ワトソン・アメリア,2023-08-31,['shorts'],243176,17609,228
【本配信】Holizontal JAM Overwatch 2  powered by Holizontal featuring Xbox【Overwatch2】＃HLZNTL,2023-08-30,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'HLZNTL', '蒼汁', 'hoshimi', '白上フブキ', 'Shirakami Fubuki', '獅白ぼたん', 'Shishiro Botan', '常闇トワ', 'Tokoyami Towa', '鷹嶺ルイ', 'Takane Lui', '沙花叉クロヱ', 'Sakamata Chloe', 'IRyS', 'ホロスターズ', '奏手イヅル', 'Kanade Izuru', '花咲みやび', 'Hanasaki Miyabi', 'アルランディス', 'Arurandeisu', 'アステル・レダ', 'Astel Leda', '羽継烏有', 'Utsugi Uyu', 'オーバーウォッチ2', 'Overwatch2', 'FPS']",265267,13528,384
【本配信】Holizontal JAM Overwatch 2  powered by Holizontal featuring Xbox【Overwatch2】＃HLZNTL,2023-08-30,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'HLZNTL', '蒼汁', 'hoshimi', '白上フブキ', 'Shirakami Fubuki', '獅白ぼたん', 'Shishiro Botan', '常闇トワ', 'Tokoyami Towa', '鷹嶺ルイ', 'Takane Lui', '沙花叉クロヱ', 'Sakamata Chloe', 'IRyS', 'ホロスターズ', '奏手イヅル', 'Kanade Izuru', '花咲みやび', 'Hanasaki Miyabi', 'アルランディス', 'Arurandeisu', 'アステル・レダ', 'Astel Leda', '羽継烏有', 'Utsugi Uyu', 'オーバーウォッチ2', 'Overwatch2', 'FPS']",265267,13528,384
【本配信】Holizontal JAM Overwatch 2  powered by Holizontal featuring Xbox【Overwatch2】＃HLZNTL,2023-08-30,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'HLZNTL', '蒼汁', 'hoshimi', '白上フブキ', 'Shirakami Fubuki', '獅白ぼたん', 'Shishiro Botan', '常闇トワ', 'Tokoyami Towa', '鷹嶺ルイ', 'Takane Lui', '沙花叉クロヱ', 'Sakamata Chloe', 'IRyS', 'ホロスターズ', '奏手イヅル', 'Kanade Izuru', '花咲みやび', 'Hanasaki Miyabi', 'アルランディス', 'Arurandeisu', 'アステル・レダ', 'Astel Leda', '羽継烏有', 'Utsugi Uyu', 'オーバーウォッチ2', 'Overwatch2', 'FPS']",265267,13528,384
