id,privacyStatus,title,publishedDate,duration,tags,views,likes,comments,topicCategories,liveStreamActualStartTime,liveStreamActualEndTime,liveStreamScheduledStartTime,localizations
xeRNZr1uho4,public,もしも格ゲーに出演した時のために必殺技を準備しておこう！ #兎田ぺこら #hololive #格闘ゲーム,2023-11-24T10:00:53Z,PT30S,[],2081340,123589,1867,"['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",,,,[]
yiDAJ0Xh9Hk,public,【#大神グンマー】VTuber大神ミオのReal群馬レポ#1【群馬県知事＆ぐんまちゃんとご対面編】,2023-11-24T09:00:47Z,PT11M57S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '大神ミオ', '群馬', '草津', '温泉']",124869,11399,447,"['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Television_program']",,,,[]
pBP3Mth8Ogo,public,圧倒的強打者の風格 #ホロぐら #ホロライブ #hololive #天音かなた #風真いろは,2023-11-22T10:02:40Z,PT20S,[],1211670,67274,652,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,,[]
UXt6s5tDYBo,public,【重大発表】#1「みんなで考える最強のホロライブブース」がついに決定！【#hololivefesEXPO24】,2023-11-21T12:11:43Z,PT1H6M31S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'さくらみこ', '白上フブキ', '尾丸ポルカ', 'IRyS', 'EXPO', 'アイランド']",217659,14562,86,['https://en.wikipedia.org/wiki/Video_game_culture'],2023-11-21T11:00:26Z,2023-11-21T12:06:50Z,2023-11-21T11:00:00Z,['en']
K86jo5TVZVo,public,ホロぐら次回予告復活！ #ホロぐら #ラプラスダークネス #ホロライブ #hololive #博衣こより,2023-11-20T10:20:48Z,PT22S,[],477313,30870,251,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,,[]
XN5I6Umsveo,public,【対談バラエティ】#わかり愛たいふたり【AZKi＆天音かなた編】,2023-11-20T09:00:12Z,PT26M53S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '公式番組', 'バラエティ', '対談', 'トーク', 'AZKi', '天音かなた']",174414,13015,490,['https://en.wikipedia.org/wiki/Video_game_culture'],2023-11-20T09:00:12Z,2023-11-20T09:28:59Z,2023-11-20T09:00:00Z,"['en', 'es']"
EbrUFyVTfmY,public,【アニメ】一緒にいてほしいの,2023-11-19T09:00:10Z,PT2M11S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",602162,54027,2360,[],,,,"['zh-Hans', 'en', 'id', 'zh-Hant', 'es', 'ko']"
ZVqleOgnyh0,public,【アキネータークイズ】そんなわけないだろ、宣伝隊長さんよ。 #hololivefesEXPO24 #ラプラスダークネス #ホロライブ #hololive,2023-11-18T10:00:23Z,PT54S,[],617158,38233,339,['https://en.wikipedia.org/wiki/Video_game_culture'],,,,[]
Ph658iSDoZA,public,【アキネータークイズ】シマエナガ一緒に作ったってなに #hololivefesEXPO24 #AZKi #ホロライブ #hololive,2023-11-17T10:00:17Z,PT46S,[],532763,39334,360,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,,[]
5p42uy5qHcM,public,【アキネータークイズ】世界最速記録達成！ #hololivefesEXPO24 #白銀ノエル #ホロライブ #hololive,2023-11-16T10:56:44Z,PT21S,[],825134,57893,720,['https://en.wikipedia.org/wiki/Video_game_culture'],,,,[]
